timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-03 05:00:00+00:00,380.82,386.43,377.831,590240,384.37,74850731,380.957589
2023-01-04 05:00:00+00:00,383.76,385.88,380.0,632808,383.18,85934098,383.149365
2023-01-05 05:00:00+00:00,379.38,381.84,378.76,530899,381.72,76970456,380.26925
2023-01-06 05:00:00+00:00,388.08,389.25,379.4127,685781,382.61,104026233,385.245977
2023-01-09 05:00:00+00:00,387.86,393.7,387.67,549428,390.37,73978071,390.362771
2023-01-10 05:00:00+00:00,390.58,390.65,386.27,471959,387.25,65358094,389.081905
2023-01-11 05:00:00+00:00,395.52,395.6,391.38,452704,392.23,68881080,393.300096
2023-01-12 05:00:00+00:00,396.96,398.485,392.42,665043,396.67,90157699,396.312294
2023-01-13 05:00:00+00:00,398.5,399.1,393.34,467201,393.62,63859516,396.837744
2023-01-17 05:00:00+00:00,397.77,400.23,397.06,437654,398.48,62677281,398.196249
2023-01-18 05:00:00+00:00,391.49,400.12,391.28,642981,399.01,99632262,394.554102
2023-01-19 05:00:00+00:00,388.64,391.08,387.26,548675,389.36,86958919,389.265344
2023-01-20 05:00:00+00:00,395.88,396.04,388.38,504225,390.1,91540638,392.589237
2023-01-23 05:00:00+00:00,400.63,402.645,395.72,568459,396.72,84178797,399.770486
2023-01-24 05:00:00+00:00,400.2,401.15,397.64,432336,398.88,59253664,399.942808
2023-01-25 05:00:00+00:00,400.35,400.7,393.56,583223,395.95,84800251,397.857328
2023-01-26 05:00:00+00:00,404.75,404.92,400.03,521284,403.13,72287425,402.611745
2023-01-27 05:00:00+00:00,405.68,408.16,403.44,494449,403.655,68270538,405.790629
2023-01-30 05:00:00+00:00,400.59,405.13,400.28,514525,402.8,74202018,402.226339
2023-01-31 05:00:00+00:00,406.48,406.53,400.77,512621,401.13,86811786,404.158786
2023-02-01 05:00:00+00:00,410.8,413.67,402.35,833210,405.211,101459155,407.863027
2023-02-02 05:00:00+00:00,416.78,418.31,412.88,724700,414.86,101654463,415.525217
2023-02-03 05:00:00+00:00,412.35,416.97,411.09,662995,411.59,94630250,413.769344
2023-02-06 05:00:00+00:00,409.83,411.29,408.1,461546,409.79,60295325,409.99197
2023-02-07 05:00:00+00:00,415.19,416.49,407.57,695519,408.87,90990745,411.996675
2023-02-08 05:00:00+00:00,410.65,414.53,409.93,529228,413.13,76227462,411.925217
2023-02-09 05:00:00+00:00,407.09,414.57,405.81,566609,414.41,78694859,409.795406
2023-02-10 05:00:00+00:00,408.04,408.44,405.01,488396,405.86,70726597,407.008344
2023-02-13 05:00:00+00:00,412.83,412.97,408.24,426599,408.72,64913539,411.386908
2023-02-14 05:00:00+00:00,412.64,415.05,408.511,627808,411.24,88389313,412.117291
2023-02-15 05:00:00+00:00,413.98,414.06,409.47,427502,410.35,61685279,412.264759
